Mosque,Latitude,Longitude,Address,Address2,City,County,State,Zip,Number,Website,Primary Ethnicity,Preceded by,Incorporation Date,Opening Date,Relocation Date,Dissolution Date,OpenDate,CloseDate,Odate,Cdate,z,TimeOpen,Link ,AlbumID,LocationID,isHistoric,Founding Members,History,Description,Photos (exterior),Photos (interior),Photos (people),Video(s),Article(s)
Dahira Taisiroul Hasir Touba,42.48896,-83.2917,27500 Franklin Road,Apt. 800,Southfield,Oakland County,MI,48034,,,,,,,,,,N/A,,2019,,,,72157606000547697,21,0,,,,,,,,
Dar Al Salam Islamic Center,,,look up!,,,,,,,http://daiconline.org/,,Dahira Taisiroul Hasir Touba,,,,,,N/A,,2019,,,,,22,0,,,,,,,,
Daru Salam Center (Life for Relief and Development),42.47379,-83.2163,17300 W. 10 Mile Road,,Southfield,Oakland County,MI,48075,,http://www.lifeusa.org/site/PageServer,,,1992,,,,1992,N/A,1992,2019,790,270,,72157606000619167,23,0,,"This group has grown into a large and well respected Islamic charity, with offices around the world.  Their Southfield office includes a small prayer area intended for the use of their staff, but other Muslims who live and work in the area also use them for Jumaa prayers.",,,,,,
Darul Uloom Michigan (Madani Muslim Community Service),42.47479,-82.9951,"2446 E Twelve Mile Rd,",,Warren,Macomb County,,48092,(313) 445-8827,http://www.darululoommi.org/,,,2014,2015,,,2014,N/A,2014,2019,1010,50,,72157617872143008,24,0,Mohammed Taj Uddin,,,,,,,
First Albanian Bektashi Monastery,42.21229,-83.2464,21749 Northline Road,,Taylor,Wayne County,MI,48180,(734) 287-3646,http://www.bektashi.net/bio-babarexheb.html,,,1954,,,,1954,N/A,1954,2019,410,650,,72157606581865831,25,0,,,,,,,,
Imam Ali Mosque,42.34333,-83.2013,16003 W. Warren Avenue,,Detroit,Wayne County,MI,48228,,,,Karbala Islamic Center,,,,,,N/A,,2019,,,,72157606000646197,26,0,,,,,,,,
Imam Jaafar Al-Sadeq Center,42.34298,-83.2275,19111 W Warren Ave ,,Detroit,Wayne County,,48228,(313) 406-2438,,Iraqi,Imam Ali Mosque,2013,2013,,,2013,N/A,2013,2019,1000,60,,,27,0,"Ali Moussawi, Dean Hydar Haddad, Jaafar Hameed",,,,,,,
Institute of the Holy Quran,,,,,Dearborn,Wayne County,MI,48126,(313) 582-7566,,Arab,,2007,,,,2007,N/A,2007,2019,940,120,,,28,0,,Arabic language services.,,,,,,
Islamic American University Masjid,42.4634,-83.2299,23725 Northwestern Highway,,Southfield,Oakland County,MI,48075,,,,,2005,,,,2005,N/A,2005,2019,920,140,,,29,0,,"The IAU Masjid includes a mosque and a lecture hall, which serve the neighboring communities of Southfield, Farmington Hills, Bloomfield, and northwest Detroit.  The 3,000 sq. foot masjid held its first congregational prayer in December 2005.  The masjid was established by the Muslim American Society and is connected to campus of the Islamic University of America, an on-line training program for Muslim laity and clergy.  The Masjid hosts a variety of services which include Friday sermons and prayers, Tafsir classes (an explanation of the meaning of the Qur'an) classes, lectures, and charitable works.  The Masjid and lecture hall are also used by local non profit organizations such as the Council of Islamic Organization of Michigan, the Islamic Shura Council of Michigan, the Muslim American Society Detroit Chapter, al-Nisa Foundation, and the Muslim American Society Youth Department.",,,,,,
Islamic Association of Greater Detroit,42.63416,-83.1492,879 W. Auburn Road,,Rochester Hills,Oakland County,MI,48307,,www.iagd.net,,,1978,,,,1978,N/A,1978,2019,650,410,,72157606000665411,30,0,,,,,,,,
Islamic Center of America,42.33036,-83.2298,19500 Ford Road,,Dearborn,Wayne County,MI,48216,(313) 593-0000,http://www.icofa.com/,Arab,Progressive Arabian Hasmie Society,1950's,,,,1950,N/A,1950,2019,370,690,,72157605995958704,31,0,,"The Islamic Center of America traces its history to the 1950s, when a dedicated group of young Lebanese Americans worked with Imam Mohammad Jawad Chirri to establish Michigan’s first, purpose-built Shi`a mosque. The congregation’s original house of worship was dedicated on Joy Road in Detroit in 1963. The Islamic Center has thrived over the years and is now perhaps the largest mosque in North America. Its growth and dynamism are reflected in the congregation’s new building, which opened in 2005 on Ford Road in Dearborn. The Center has also sponsored a popular K-6 school, the Muslim American Youth Academy, located next to its Ford Road facility, since 1997.","The Islamic Center’s new mosque, at 120,000 sq. ft., is grand in comparison to its earlier facility (17,000 sq.ft.), yet both structures are distinctive for the large spaces they set aside for religious and social events. The new mosque includes a vast meeting hall that can be divided into several smaller rooms, an industrial kitchen, a spacious prayer room with a high, calligraphy-decorated dome, a generously proportioned mezzanine for women, offices, meeting rooms, a library, and archival space set aside to document the community’s history in America. Led by Imam Hassan Qazwini, the Islamic Center offers a wide range of religious, educational, and public programs. It is frequently host to interfaith tour groups and visiting dignitaries from around the world. With a congregation of over 3,000 members, the center has long been one of Detroit’s most vibrant and influential Muslim institutions. A calendar of events, lectures by Imam Qazwini, prayer times, programs, and photographs of the new mosque are available at www.icofa.com.",,,,,
Islamic Center of Detroit,42.35192,-83.1839,14350 Tireman Street,,Detroit,Wayne County,MI,48228,,http://www.icd-center.org,Arab,American Moslem Society,1998,,,,1998,N/A,1998,2019,850,210,,72157606255830312,32,0,,"This group moved into their current location on Tireman celebrated their grand opening during Eid Al-Fitr 2000.  The congregation is predominantly Arab American, but the organization is open to all Muslims and seeks to support other Muslims in the area and to reach out to non-Muslims.",,,,,,
Islamic Center of Hamtramck,42.36241,-83.0322,12635 McDougall Street,,Detroit,Wayne County,MI,48212,,,Arab,,,,,,,N/A,,2019,,,,72157606581842535,33,0,,This facility is more of a Quran school than masjid.  It is located in the same block with Masjid Al-Falah and al-Iklas Training Academy.,,,,,,
Islamic Center of North Detroit (Masjid al-Falah),42.40896,-83.0634,12500 McDougall Street,,Hamtramck,Wayne County,MI,48212,(313) 368-5308,http://masjidalfalah.org/,South Asian,Masjidunur,1989,1990,2006,,2006,N/A,2006,2019,930,130,,,34,0,"Ali Suleiman Ali, Hafiz Azizur Rahman, Abdul Hoque, Sofrul Laskar, Nizam Ahmed, Syed Anwar Miah, Mohammed Halim, Mohammed Quayoum, Qurban Sani Choudhury, Mohammed Rahman, Muhammed Nasser","This growing and dynamic mosque was established in 1989, first occupying a small house in Hamtramck.  As the group grew, they then moved into a former health clinic on McDougall along the border between Hamtramck and Detroit.  In 2007 they began renovating the former catholic parish they now occupy, which can accommodate up to 2,000 worshipers and is home to Al-Iklas Training Academy, the area's oldest Islamic parochial school.  Established by South Asian Muslims, the community provides a link between urban and suburban Muslims and the school, in particular, has a culturally diverse population of students.  The masjid is working hard to expand their services into the areas of youth programming, health care, and end of  life services.",,,,,,
Islamic Center of Southfield,42.46114,-83.2742,23435 Berg Road,,Southfield,Oakland County,,48033,,,,,2012,,,,2012,N/A,2012,2019,990,70,,,35,0,"Shaikh Gauhar Ahmed, Frijuckic Murat, Khondker Haque",,,,,,,
Islamic Council of America,42.34184,-83.1771,6941 Schaefer Road,,Dearborn,Wayne County,MI,48126,(313) 584-4488,,,Islamic Institute of Knowledge,1989,,,,1989,N/A,1989,2019,760,300,,72157606426830267,36,0,,,,,,,,
Islamic Cultural Association,42.52466,-83.3047,32220 Franklin Road,,Franklin,Oakland County,MI,48025,(248) 988-7517,http://www.ica-mi.org,Syrian,,1984,,,,1984,N/A,1984,2019,710,350,,,37,0,,,,,,,,
Islamic Cultural Institute,42.51604,-82.889,30115 Greater Mack Avenue,,St. Clair Shores,Macomb County,MI,48082,(586) 293-5752,http://www.ici-online.net,Egyptian,,1993,,,,1993,N/A,1993,2019,800,260,,72157606441742803,38,0,,,,,,,,
Islamic House of Wisdom,42.33976,-83.2617,22575 Ann Arbor Trail,,Dearborn Heights,Wayne County,MI,48127,(313) 584-2570,www.islamichouseofwisdom.com,,Islamic Center of America,1995,,,,1995,N/A,1995,2019,820,240,,72157606441775413,39,0,,,,,,,,
Islamic Institute of America,42.32631,-83.2978,26305 Ford Road,,Dearborn Heights,Wayne County,,48127,(313) 432-8722,http://www.iiofa.org/,Lebanese,Islamic Center of America,,,,,,N/A,,2019,,,,,40,0,,,,,,,,
Islamic Institute of Knowledge,42.3364,-83.1767,6345 Schaefer Rd.,,Dearborn,Wayne County,MI,48126,(313) 584-2570,http://www.iiokonline.org/,,Islamic Center of America,1982,,1998,,1982,N/A,1982,2019,690,370,,72157606578053994,41,0,,"The Institute moved to its current location in 1998 after extensively renovating this former bowling alley as a mosque, library and community center.  The facility's large Husseniyya is used for lectures, funerals, commemorations, and for ""Islamic weddings.""  The mosque is located next to Riverside Academy, a charter school with an emphasis on Arabic-language instruction and gender segregated classrooms.  (See Islamic Institute of Knowledge, Historic, for more information about this mosque's history.)",,,,,,
Islamic Organization of North America,42.50332,-83.0664,28654 Ryan Road,,Warren,Macomb County,MI,48092,(586) 558-6900,http://www.ionaonline.org,,,,,,,,N/A,,2019,,,,72157606438582338,42,0,,,,,,,,
Jamia Islamia Darul-Uloom Detroit,42.40581,-83.0443,5679 Caniff Ave,,Hamtramck,Wayne County,,48212,(313) 891-3256,,Bangladeshi,Masjidunur,1998,,,,1998,N/A,1998,2019,850,210,,,43,0,"Abdul Matin, Abdul Hakim Azad, Mohammed Atik Miah, Abdul Mumin, Abdul Quayum, Haris Ali",,,,,,,
Karbala Islamic Education Center,42.34384,-83.1944,15332 W. Warren Avenue,,Dearborn,Wayne County,MI,48126,,www.karbalaa.org,,Islamic Center of America,1995,,,,1995,N/A,1995,2019,820,240,,72157606438911028,44,0,,,,,,,,
Masjid Al-Burhani,42.44608,-83.3567,20959 Orchard Lake Road,,Farmington Hills,Oakland County,MI,48336,(248) 478-2001,,,,1988,,,,1988,N/A,1988,2019,750,310,,72157606443379891,45,0,,,,,,,,
Masjid al-Fatheh (Islamic Center of Warren),42.47481,-83.0656,24703 Ryan Road,,Warren,Macomb County,MI,48091,(313) 598-6417,http://www.icwweb.org/,Bangladeshi,,2012,2015,,,2012,N/A,2012,2019,990,70,,,46,0,"Mohammed Basith, Faisal Ahmed, Mohibur Rahman Khan, Mujib-Ur Rahman, Manmur Rahman, Anamul Haque, Muhibul Hassan Chowdhury, Abdul Hakiem Khalisadar, Mohammed Huda",,,,,,,
Masjid al-Fatiha,42.33998,-83.0636,2844 4th Street,,Detroit,Wayne County,MI,48201,,,African American,,1990,,,,1990,N/A,1990,2019,770,290,,72157606443495273,47,0,"Abdul Aleem Abdullah, Khaleel Deaab, Meer Raaur Ameen Abdullah, M. Rasheed Askew",,,,,,,
Masjid al-Fatimah (Hope Center),42.40941,-83.0659,12818 Joseph Campau,,Detroit,Wayne County,MI,48212,(313) 444-4554,http://www.masjidfatimah.org/,Bangladeshi,Masjid al-Aqabah,2003,2014,,,2003,N/A,2003,2019,900,160,,,48,0,Akm Rahman,,,,,,,
Masjid al-Furqaan,42.49746,-82.9876,27643 Schoenherr Rd,,Warren,Macomb County,MI,48088,(248) 495-8742,,Bosnian,Bosnian Islamic Center,2014,2015,,,2014,N/A,2014,2019,1010,50,,,49,0,"Sejad Melkic, Senid Tica, Anes Halimic",,,,,,,
Masjid al-Furqān,42.32806,-83.1483,4981 Cabot St,,Detroit,Wayne County,,48212,(313) 584-4464,http://www.quran-institute.org/masjid-furqan,Yemeni,,,,,,,N/A,,2019,,,,,50,0,,,,,,,,
Masjid al-Haqq,42.36827,-83.1197,4017 Clairmount Street,,Detroit,Wayne County,MI,48204,,,,Masid Al-Salam,2009,,,,2009,N/A,2009,2019,960,100,,72157606440039168,51,0,,The mosque is currently under the leadership of….,,,,,,
Masjid Al-Hoda,42.33486,-83.152,5838 Lawndale Street,,Detroit,Wayne County,MI,48210,,,,American Moslem Society,1995,,,,1995,N/A,1995,2019,820,240,,72157617142852840,52,0,,This mosque is in many ways a satellite of the American Moslem Society.,,,,,,
Masjid al Ihsan (Ideal Islamic Center),42.39341,-83.0573,2721 Holbrook,,Hamtramck,Wayne County,MI,48212,(313) 872-6000,http://www.idealislamiccenter.org/,Bangladeshi,,2011,2011,,,2011,N/A,2011,2019,980,80,,,53,0,"Fakrul Islam, Mohammad Salim Uddin, Abdul Matin Ullah, Abdul W. Chowdhury, Azizur Rahman, Afzal Chowdhury",,,,,,,
Masjid Al-Nur,42.40923,-83.1128,318 Pilgrim Street,,Highland Park,Wayne County,MI,48203,(313) 867-9428,,,Masjid Al-Salam,1989,,,,1989,N/A,1989,2019,760,300,,,54,0,,Offshoot of Masjid As-Salaam.,,,,,,
Masjid Al-Nur (Jumaa),,,,,,,MI,,,,,,,,,,,N/A,,2019,,,,,55,0,,"Masjid Al-Nur uses this facility at the corner of Midland and Hamilton for congregational prayers, taraweeh, holidays, and other large gatherings.  Daily prayers are held at their facility on Pilgrim Street.",,,,,,
Masjid al-Rahma,42.34722,-83.1742,7520 Bingham St.,,Dearborn,Wayne County,MI,48126,,,Senegalese,,2011,2014,,,2011,N/A,2011,2019,980,80,,,56,0,"Amadou Diallo, Mamadou S. Diallo, Abraham Bah, Andoul Diallo",,,,,,,
Masjid Al-Salam (Dearborn Community Center),42.31638,-83.1749,3900 Schaefer Road,,Dearborn,Wayne County,MI,48126,,http://muslimmedianetwork.com/mmn/?p=6451,Mixed,American Muslim Bekaa Center,2006,2010,,,2006,N/A,2006,2019,930,130,,72157629939914208,57,0,"Adnan al-Kadri, Mohamad Bahalman","Purchased in 2006 as the Dearborn Community Center, Masjid Al-Salam opened its doors in January 2010 as a spacious new mosque with an active weekend Arabic school, a gym and cafeteria.  The facility also houses the Dar Al-Arqam School.  This masjid represents a new step taken in the history of the American Muslim Bekaa Center (est. 1978), which itself spun off from the American Moslem Society (est. 1938) after that mosque voted in new leadership in the 1970's.  In this case, the Bekaa Center has been so overwhelmed by Friday and holiday crowds that the City of Dearborn ordered the congregation to cease hosting jumaa and holiday prayers in violation of local zoning regulations.  The congregation simply outgrew their facility.  This new masjid serves a diverse, but majority Yemeni American, congregation.  Friday sermons are held in both Arabic (1st prayer) and English (2nd prayer).  See for images and a news story.",,,,,,
Masjid As-Salam Islamic Community Center,42.40056,-83.2548,21628 Fenkell Street,,Detroit,Wayne County,MI,48223,,,,,2008,,2008,,2008,N/A,2008,2019,950,110,,72157701580804195,58,0,,This congregation began on West 7 Mile and moved to this location in 2008.,,,,,,
Masjid al-Tawheed,42.3436,-83.2225,18624 W. Warren Avenue,,Detroit,Wayne County,MI,48228,(313) 271-0731,http://www.masjidtawheed.org/First,,American Moslem Society,1995,,,,1995,N/A,1995,2019,820,240,,72157606450530354,59,0,,Building opened next door to this one in 1995.  This masjid was completed in 2001.,,,,,,
Masjid Baitul Mukarram and Islamic Academy,42.40907,-83.0575,12203 Conant Street,,Hamtramck,Wayne County,MI,48212,(313) 258 - 1238,http://www.baitulmukarrammasjid.org/,,Masjidunur,2003,2003,,,2003,N/A,2003,2019,900,160,,,60,0,"Gazanfar Chowhury, Syed Iqbal H. Kchowdhury, Khurshid Alam, Abdur Rob, Abdul K. Choudhry",This masjid came together in the early 2000s and reflects the rapid growth of the Bangladeshi Muslim community in Detroit and Hamtramck. It is an offshoot of Masjidun-Nur. ,"This mosque is opened for the five daily prayers and provides Islamic educational services for familys. A major renovation project was completed in 2015, providing much more room for congregational prayers and educational programs. ",,,,,
Masjid Bilal/Madrasah Bilal,42.21626,-83.6647,4891 W. Michigan Avenue,,Ypsilanti,Washtenaw County,MI,48197,,http://www.masjidbilalmi.org,,,1990's,,2007,,1990,N/A,1990,2019,770,290,,,61,0,,The Masjid Bilal community came together in the late 1990's.  In 2005 they opened a school to teach the memorization of the Quran.  In 2007 they moved to this space along with the mosque.  They are affiliated with Masjid Bilal in Canton as well.  Both masajid are open for daily prayers.,,,,,,
Masjid Bilal,42.31626,-83.5296,1525 N. Ridge Road,,Canton,Wayne County,MI,48187,,http://www.masjidbilalmi.org,,,1990's,,2007,,1990,N/A,1990,2019,770,290,,,62,0,,"The Masjid Bilal community first organized in the late 1990's.  They opened a mosque and school in Ypsilanti in 2007, in a converted house.  They purchased this former church in Canton and converted it into a mosque in 2011.  Both masajid are open for daily prayers and provide educational programs for young adults.",,,,,,
Masjid Madinatul Ilm,42.29368,-83.4122,37775 Palmer Road  ,,Westland,Wayne County,MI,48186,,http://www.masjidmadinatulilm.com/,South Asian,MCWS,2013,2013,,,2013,N/A,2013,2019,1000,60,,,63,0,"Qadi Ilyas, Muhammad Ammar, Muhammad Numan",,,,,,,
Masjid Mahmood,42.63046,-83.1585,1445 W. Auburn Road,,Rochester Hills,Oakland County,MI,48309,,,,,2008,,,,2008,N/A,2008,2019,950,110,,72157617782205013,64,0,,"Ahmadiyyah Muslim Community Center Grand Opening, Ramadan 2008.",,,,,,
Masjid Mu'ath Bin Jabal,42.39075,-83.0411,4011 Miller Street (6096 Dorothy Street),,Detroit,Wayne County,MI,48211,(313) 571-9502,masjidmuath.com,Arab,,1976,,,,1976,N/A,1976,2019,630,430,,72157606456919693,65,0,,"Masjid Mu‘ath Bin Jabal is located at the center of a Detroit neighborhood that is almost entirely Yemeni. Established in 1976, the mosque began as a prayer space in a coffee shop. It is housed today in an old church building with an attached charter school. The sanctuary of the church has been substantially enlarged and now serves as a prayer space that can easily accommodate a thousand men. A large space for women has been set aside upstairs.","Mu‘ath Bin Jabal is a focal point for the growing population of Yemeni immigrants who live along the border of Hamtramck and Detroit. Small shops that cater to Yemenis line the streets next to the mosque. Young men socialize in front of the local grocery, speaking a mélange of Arabic and English, while bicycle brigades of Yemeni children cruise the streets. The neighborhood was blighted and dangerous when Yemenis starting moving there in the 1970s, but the degraded housing stock was cheap. Over the last 20 years, Yemeni workers have bought and repaired dozens of houses and, in increasing numbers, have brought their wives and children to Detroit. Their school, mosque, and stores are the infrastructure of a stable, socially and morally conservative enclave that has excellent relations with the Detroit police, the public school system, and city government, all of whom appreciate the grassroots urban reclamation project the Yemenis are running in their slice of Detroit.",,,,,
Masjid Nasrullah,42.4081,-82.951,15744 Harper,,Detroit,Wayne County,MI,48224,,http://www.naicom.info/,African,,2007,,2007,,2007,N/A,2007,2019,940,120,,72157606453712408,66,0,,Nigerian American Islamic Community of Michigan.  The congregation moved to this facility in 2007.  Before that they were members of Muslim Community Center of Detroit previously located on Marlborough.,,,,,,
"Masjid Saaliheen (American Society of Muslims Masjid of Detroit, Inc.)",42.36442,-83.245,20823 W. Chicago,,Detroit,Wayne County,,48228,,,,,2000,,,2010,2000,2010,2000,2010,870,100,,,67,0,"Hamin Rasool, Osman Almanza, Intisar Abdulghani",,,,,,,
