11,American Muslim Diversity Association,44760 RYAN RD Sterling Heights,NULL,http://www.amda.us/,"Asian, Bangladeshi",NULL,2006,2014,NULL,NULL,NULL,NULL,72157605995585362
12,Ar-Rasool Community Center,"8140 Greenfield Road Detroit, MI",NULL,NULL,NULL,NULL,2001,NULL,NULL,NULL,NULL,"This center is more of a community center than masjid.  Services are held during Ramadan and Ashura, but the masjid is not reliably open for daily or juma'a prayers.",NULL
13,Association of Islamic Charitable Projects,"5715 N. Inkster Road Garden City, MI",734 / 524-9940,http://aicpmi.org/index.html,NULL,NULL,1996,NULL,NULL,NULL,NULL,NULL,NULL
14,Baitul-Islam Jame Masjid,"7826 Klein Street Detroit, MI",NULL,NULL,NULL,NULL,1995,NULL,NULL,NULL,NULL,NULL,72157606000394445
15,Baitul Ma'moor Sunni Islamic Center,"11635 Conant St. Hamtramck, MI",NULL,NULL,Bangladeshi,NULL,2016,2016,NULL,NULL,NULL,NULL,NULL
16,Baitul Muzaffar (Ahmadiyyah Movement of Michigan),"8218 Wyoming Street Detroit, MI",(313) 933-9850,NULL,NULL,NULL,1979,NULL,NULL,NULL,NULL,NULL,72157605995732572
17,Bosnian American Islamic Center,"3437 Caniff Street Hamtramck, MI",(313) 891-6192,NULL,Bosnian,NULL,1999,NULL,NULL,NULL,NULL,NULL,72157605995742790
18,Bosnian Islamic Center,"12426 Joseph Campau Hamtramck, MI",NULL,NULL,Bosnian,NULL,05/09/2008,2008,NULL,NULL,NULL,NULL,72157606559058763
19,Dahira Taisiroul Hasir Touba,"27500 Franklin Road Southfield, MI",NULL,NULL,NULL,NULL,2002,2002,NULL,NULL,NULL,NULL,72157606000547697
20,Dar Al Salam Islamic Center,"27758 WARREN  Westland, MI",NULL,http://daiconline.org/,NULL,NULL,12/06/2005,2009,NULL,NULL,NULL,"The journey of the establishment of Dar Al Salam Islamic Center (DAIC) began in December 2005. The goal was to establish a mosque in the city of Dearborn Heights, MI that would operate upon the noble Islamic principles of Ahlus-Sunnah wal Jama’ah. The Board of Trustees searched diligently for an adequate building for this mosque, and lack of sufficient funds called for an adjustment of plans. In November 2009, members of the community decided to rent a space in a shopping plaza in Garden City. For the next five year, this space would serve as a musallah for the community. In June 2014, the Board of Trustees felt a strong need for establishing a full-fledged mosque, and so they began the search for an appropriate building and location. They identified a very suitable and appropriate sized building in the city of Westland. During Ramadan of that year, a fundraising Iftar was organized. All praise is due to Allah, the fundraising was successful and the building was purchased under a land contract. After a couple of months of renovation, the new mosque opened its doors on December 1, 2014. The building costs have since been paid off, and several new renovations have been completed. Among them was a complete rebuilding of the bathrooms for men and women, external brick lining of the building, brand new HVAC units, new high efficiency windows, and a 100% coverage security camera system. Today, the Dar Al Salam Islamic Center (DAIC) establishes the five daily prayers, the Friday prayers, and the two Eid prayers.",NULL
21,Daru Salam Center (Life for Relief and Development),"17300 W. 10 Mile Road Southfield, MI",NULL,http://www.lifeusa.org/site/PageServer,NULL,NULL,1992,NULL,NULL,NULL,NULL,"This group has grown into a large and well respected Islamic charity, with offices around the world.  Their Southfield office includes a small prayer area intended for the use of their staff, but other Muslims who live and work in the area also use them for Jumaa prayers.",72157606000619167
22,Darul Uloom Michigan (Madani Muslim Community Service),"2446 E Twelve Mile Rd, Warren",(313) 445-8827,http://www.darululoommi.org/,NULL,NULL,2014,2015,NULL,NULL,NULL,NULL,72157617872143008
23,First Albanian Bektashi Monastery,"21749 Northline Road Taylor, MI",(734) 287-3646,http://www.bektashi.net/bio-babarexheb.html,NULL,NULL,1954,NULL,NULL,NULL,NULL,NULL,72157606581865831
24,Imam Ali Islamic Center,"16003 W. Warren Avenue Detroit, MI",NULL,NULL,NULL,NULL,03/23/2000,NULL,NULL,NULL,NULL,NULL,72157606000646197
25,Imam Jaafar Al-Sadeq Center,19111 W Warren Ave  Detroit,(313) 406-2438,NULL,Iraqi,NULL,2013,2013,NULL,NULL,NULL,NULL,NULL
26,Islamic American University Masjid,"23725 Northwestern Highway Southfield, MI",NULL,NULL,NULL,NULL,2005,NULL,NULL,NULL,NULL,"The IAU Masjid includes a mosque and a lecture hall, which serve the neighboring communities of Southfield, Farmington Hills, Bloomfield, and northwest Detroit.  The 3,000 sq. foot masjid held its first congregational prayer in December 2005.  The masjid was established by the Muslim American Society and is connected to campus of the Islamic University of America, an on-line training program for Muslim laity and clergy.  The Masjid hosts a variety of services which include Friday sermons and prayers, Tafsir classes (an explanation of the meaning of the Qur'an) classes, lectures, and charitable works.  The Masjid and lecture hall are also used by local non profit organizations such as the Council of Islamic Organization of Michigan, the Islamic Shura Council of Michigan, the Muslim American Society Detroit Chapter, al-Nisa Foundation, and the Muslim American Society Youth Department.",NULL
27,Islamic Association of Greater Detroit,"879 W. Auburn Road Rochester, MI",NULL,www.iagd.net,NULL,NULL,1978,NULL,NULL,NULL,NULL,NULL,72157606000665411
28,Islamic Center of America,"19500 Ford Road Dearborn, MI",(313) 593-0000,http://www.icofa.com/,Arab,NULL,1950's,NULL,NULL,NULL,"The Islamic Center’s new mosque, at 120,000 sq. ft., is grand in comparison to its earlier facility (17,000 sq.ft.), yet both structures are distinctive for the large spaces they set aside for religious and social events. The new mosque includes a vast meeting hall that can be divided into several smaller rooms, an industrial kitchen, a spacious prayer room with a high, calligraphy-decorated dome, a generously proportioned mezzanine for women, offices, meeting rooms, a library, and archival space set aside to document the community’s history in America. Led by Imam Hassan Qazwini, the Islamic Center offers a wide range of religious, educational, and public programs. It is frequently host to interfaith tour groups and visiting dignitaries from around the world. With a congregation of over 3,000 members, the center has long been one of Detroit’s most vibrant and influential Muslim institutions. A calendar of events, lectures by Imam Qazwini, prayer times, programs, and photographs of the new mosque are available at www.icofa.com.","The Islamic Center of America traces its history to the 1950s, when a dedicated group of young Lebanese Americans worked with Imam Mohammad Jawad Chirri to establish Michigan’s first, purpose-built Shi`a mosque. The congregation’s original house of worship was dedicated on Joy Road in Detroit in 1963. The Islamic Center has thrived over the years and is now perhaps the largest mosque in North America. Its growth and dynamism are reflected in the congregation’s new building, which opened in 2005 on Ford Road in Dearborn. The Center has also sponsored a popular K-6 school, the Muslim American Youth Academy, located next to its Ford Road facility, since 1997.",72157605995958704
29,Islamic Center of Detroit,"14350 Tireman Street Detroit, MI",NULL,http://www.icd-center.org,Arab,NULL,1998,NULL,NULL,NULL,NULL,"This group moved into their current location on Tireman celebrated their grand opening during Eid Al-Fitr 2000.  The congregation is predominantly Arab American, but the organization is open to all Muslims and seeks to support other Muslims in the area and to reach out to non-Muslims.",72157606255830312
30,Islamic Center of Hamtramck,"11347 Joseph Campau Ave Hamtramck, MI",NULL,NULL,Arab,NULL,2008,2009,NULL,NULL,NULL,This facility is more of a Quran school than masjid.  It is located in the same block with Masjid Al-Falah and al-Iklas Training Academy.,72157606581842535
31,Islamic Center of North Detroit (Masjid al-Falah),"12500 McDougall Street Hamtramck, MI",(313) 368-5308,http://masjidalfalah.org/,South Asian,NULL,1989,1990,2006,NULL,NULL,"This growing and dynamic mosque was established in 1989, first occupying a small house in Hamtramck.  As the group grew, they then moved into a former health clinic on McDougall along the border between Hamtramck and Detroit.  In 2007 they began renovating the former catholic parish they now occupy, which can accommodate up to 2,000 worshipers and is home to Al-Iklas Training Academy, the area's oldest Islamic parochial school.  Established by South Asian Muslims, the community provides a link between urban and suburban Muslims and the school, in particular, has a culturally diverse population of students.  The masjid is working hard to expand their services into the areas of youth programming, health care, and end of  life services.",NULL
32,Islamic Center of Southfield,23435 Berg Road Southfield,NULL,NULL,NULL,NULL,2012,NULL,NULL,NULL,NULL,NULL,NULL
33,Islamic Council of America,"6941 Schaefer Road Dearborn, MI",(313) 584-4488,NULL,NULL,NULL,1989,NULL,NULL,NULL,NULL,NULL,72157606426830267
34,Islamic Cultural Association,"32220 Franklin Road Franklin, MI",(248) 988-7517,http://www.ica-mi.org,Syrian,NULL,1984,NULL,NULL,NULL,NULL,NULL,NULL
35,Islamic Cultural Institute,"30115 Greater Mack Avenue Saint Clair Shores, MI",(586) 293-5752,http://www.ici-online.net,Egyptian,NULL,1993,NULL,NULL,NULL,NULL,NULL,72157606441742803
36,Islamic House of Wisdom,"22575 Ann Arbor Trail Dearborn Heights, MI",(313) 584-2570,www.islamichouseofwisdom.com,NULL,NULL,1995,NULL,NULL,NULL,NULL,NULL,72157606441775413
37,Islamic Institute of America,26305 Ford Road Dearborn Heights,(313) 432-8722,http://www.iiofa.org/,Lebanese,NULL,2011,NULL,NULL,NULL,NULL,NULL,72157606438582338
38,Islamic Institute of Knowledge,"6345 Schaefer Rd. Dearborn, MI",(313) 584-2570,http://www.iiokonline.org/,NULL,NULL,1982,NULL,1998,NULL,NULL,"The Institute moved to its current location in 1998 after extensively renovating this former bowling alley as a mosque, library and community center.  The facility's large Husseniyya is used for lectures, funerals, commemorations, and for ""Islamic weddings.""  The mosque is located next to Riverside Academy, a charter school with an emphasis on Arabic-language instruction and gender segregated classrooms.  (See Islamic Institute of Knowledge, Historic, for more information about this mosque's history.)",72157606578053994
39,Islamic Organization of North America," 28630 Ryan Road Warren, MI",(586) 558-6900,http://www.ionaonline.org,NULL,NULL,2005,NULL,NULL,NULL,NULL,NULL,NULL
40,Jamia Islamia Darul-Uloom Detroit,5679 Caniff Ave Hamtramck,(313) 891-3256,NULL,Bangladeshi,NULL,1998,NULL,NULL,NULL,NULL,NULL,NULL
41,Karbala Islamic Education Center,"15332 W. Warren Avenue Dearborn, MI",NULL,www.karbalaa.org,NULL,NULL,1995,NULL,NULL,NULL,NULL,NULL,72157606438911028
42,Masjid Al-Burhani,"20959 Orchard Lake Road Farmington, MI",(248) 478-2001,NULL,NULL,NULL,1988,NULL,NULL,NULL,NULL,NULL,72157606443379891
43,Masjid al-Fatheh (Islamic Center of Warren),"24703 Ryan Road Warren, MI",(313) 598-6417,http://www.icwweb.org/,Bangladeshi,NULL,2012,2015,NULL,NULL,NULL,NULL,NULL
44,Masjid al-Fatiha,"2844 4th Street Detroit, MI",NULL,NULL,African American,NULL,1990,NULL,NULL,NULL,NULL,NULL,72157606443495273
45,Masjid al-Fatimah (Hope Center),"12818 Joseph Campau Hamtramck, MI",(313) 444-4554,http://www.masjidfatimah.org/,Bangladeshi,NULL,2003,2014,NULL,NULL,NULL,NULL,NULL
46,Masjid al-Furqaan,"27643 Schoenherr Rd Troy, MI",(248) 495-8742,NULL,Bosnian,NULL,2014,2015,NULL,NULL,NULL,NULL,NULL
47,Masjid al-Furqān,4981 Cabot St Detroit,(313) 584-4464,http://www.quran-institute.org/masjid-furqan,Yemeni,NULL,2015,2015,NULL,NULL,NULL,NULL,NULL
48,Masjid al-Haqq,"4017 Clairmount Street Detroit, MI",NULL,NULL,NULL,NULL,2009,NULL,NULL,NULL,NULL,The mosque is currently under the leadership of….,72157606440039168
49,Masjid Al-Hoda,"5838 Lawndale Street Detroit, MI",NULL,NULL,NULL,NULL,1995,NULL,NULL,NULL,NULL,This mosque is in many ways a satellite of the American Moslem Society.,72157617142852840
50,Masjid al Ihsan (Ideal Islamic Center),"2721 Holbrook Hamtramck, MI",(313) 872-6000,http://www.idealislamiccenter.org/,Bangladeshi,NULL,2011,2011,NULL,NULL,NULL,NULL,NULL
51,Masjid Al-Nur,"318 Pilgrim Street Highland Park, MI",(313) 867-9428,NULL,NULL,NULL,1989,NULL,NULL,NULL,NULL,Offshoot of Masjid As-Salaam.,NULL
52,Masjid al-Rahma,"7520 Bingham St. Dearborn, MI",NULL,NULL,Senegalese,NULL,2011,2014,NULL,NULL,NULL,NULL,NULL
53,Masjid Al-Salam (Dearborn Community Center),"3900 Schaefer Road Dearborn, MI",NULL,http://muslimmedianetwork.com/mmn/?p=6451,Mixed,NULL,2006,2010,NULL,NULL,NULL,"Purchased in 2006 as the Dearborn Community Center, Masjid Al-Salam opened its doors in January 2010 as a spacious new mosque with an active weekend Arabic school, a gym and cafeteria.  The facility also houses the Dar Al-Arqam School.  This masjid represents a new step taken in the history of the American Muslim Bekaa Center (est. 1978), which itself spun off from the American Moslem Society (est. 1938) after that mosque voted in new leadership in the 1970's.  In this case, the Bekaa Center has been so overwhelmed by Friday and holiday crowds that the City of Dearborn ordered the congregation to cease hosting jumaa and holiday prayers in violation of local zoning regulations.  The congregation simply outgrew their facility.  This new masjid serves a diverse, but majority Yemeni American, congregation.  Friday sermons are held in both Arabic (1st prayer) and English (2nd prayer).  See for images and a news story.",72157629939914208
54,Masjid As-Salam Islamic Community Center,"21628 Fenkell Street Detroit, MI",NULL,NULL,NULL,NULL,2008,NULL,2008,NULL,NULL,This congregation began on West 7 Mile and moved to this location in 2008.,72157701580804195
55,Masjid al-Tawheed,"18624 W. Warren Avenue Detroit, MI",(313) 271-0731,http://www.masjidtawheed.org/First,NULL,NULL,1995,NULL,NULL,NULL,NULL,Building opened next door to this one in 1995.  This masjid was completed in 2001.,72157606450530354
56,Masjid Baitul Mukarram and Islamic Academy,"12203 Conant Street Hamtramck, MI",(313) 258 - 1238,http://www.baitulmukarrammasjid.org/,NULL,NULL,2003,2003,NULL,NULL,"This mosque is opened for the five daily prayers and provides Islamic educational services for familys. A major renovation project was completed in 2015, providing much more room for congregational prayers and educational programs. ",This masjid came together in the early 2000s and reflects the rapid growth of the Bangladeshi Muslim community in Detroit and Hamtramck. It is an offshoot of Masjidun-Nur. ,NULL
57,Masjid Bilal/Madrasah Bilal,"4891 W. Michigan Avenue Ypsilanti, MI",NULL,http://www.masjidbilalmi.org,NULL,NULL,1990's,NULL,2007,NULL,NULL,The Masjid Bilal community came together in the late 1990's.  In 2005 they opened a school to teach the memorization of the Quran.  In 2007 they moved to this space along with the mosque.  They are affiliated with Masjid Bilal in Canton as well.  Both masajid are open for daily prayers.,NULL
58,Masjid Bilal,"1525 N. Ridge Road Canton, MI",NULL,http://www.masjidbilalmi.org,NULL,NULL,1990's,NULL,2007,NULL,NULL,"The Masjid Bilal community first organized in the late 1990's.  They opened a mosque and school in Ypsilanti in 2007, in a converted house.  They purchased this former church in Canton and converted it into a mosque in 2011.  Both masajid are open for daily prayers and provide educational programs for young adults.",NULL
59,Masjid Madinatul Ilm,"37775 Palmer Road   Westland, MI",NULL,http://www.masjidmadinatulilm.com/,South Asian,NULL,2013,2013,NULL,NULL,NULL,NULL,NULL
60,Masjid Mahmood,"1445 W. Auburn Road Rochester, MI",NULL,NULL,NULL,NULL,2008,NULL,NULL,NULL,NULL,"Ahmadiyyah Muslim Community Center Grand Opening, Ramadan 2008.",72157617782205013
61,Masjid Mu'ath Bin Jabal,"6096 Dorothy Street Detroit, MI",(313) 571-9502,masjidmuath.com,Arab,NULL,1976,1995 (current location),NULL,NULL,"Mu‘ath Bin Jabal is a focal point for the growing population of Yemeni immigrants who live along the border of Hamtramck and Detroit. Small shops that cater to Yemenis line the streets next to the mosque. Young men socialize in front of the local grocery, speaking a mélange of Arabic and English, while bicycle brigades of Yemeni children cruise the streets. The neighborhood was blighted and dangerous when Yemenis starting moving there in the 1970s, but the degraded housing stock was cheap. Over the last 20 years, Yemeni workers have bought and repaired dozens of houses and, in increasing numbers, have brought their wives and children to Detroit. Their school, mosque, and stores are the infrastructure of a stable, socially and morally conservative enclave that has excellent relations with the Detroit police, the public school system, and city government, all of whom appreciate the grassroots urban reclamation project the Yemenis are running in their slice of Detroit.","Masjid Mu‘ath Bin Jabal is located at the center of a Detroit neighborhood that is almost entirely Yemeni. Established in 1976, the mosque began as a prayer space in a coffee shop. It is housed today in an old church building with an attached charter school. The sanctuary of the church has been substantially enlarged and now serves as a prayer space that can easily accommodate a thousand men. A large space for women has been set aside upstairs.",72157606456919693
62,Masjid Nasrullah,"15744 Harper Detroit, MI",NULL,http://www.naicom.info/,African,NULL,2007,NULL,2007,NULL,NULL,Nigerian American Islamic Community of Michigan.  The congregation moved to this facility in 2007.  Before that they were members of Muslim Community Center of Detroit previously located on Marlborough.,72157606453712408
63,"Masjid Saaliheen (American Society of Muslims Masjid of Detroit, Inc.)",20823 W. Chicago Detroit,NULL,NULL,NULL,NULL,2000,NULL,NULL,2010,NULL,NULL,NULL
64,Masjidun-Nur,"11311 Mound Road Hamtramck, MI",(313) 892-5450,http://www.masjidunnur.org/,South Asian,NULL,1977 (on Pilgrim in Highland Park),NULL,NULL,NULL,NULL,"This congregation was incorporated in 1977 in Highland Park, but also made use of a former gas station for prayers at this location on Mound Road in Detroit. Originally comprised of a diverse South Asian community, the mosque today is primarily of Bangladeshi origins. The mosque recently completed a new renovation and expansion.  Among the oldest congregations in Detroit, Masjidun-Nur anchors the ""Islamic Village"" that has now taken shape on the border of Hamtramck and Detroit.  Like its siter mosque in Highland Park, this congregation is associated with the Tablighi Jumaat movement.",NULL
65,Masjid Umar bin Khattab,"18105 Racho Road Brown City, MI",NULL,http://brownstown-masjid.com,NULL,NULL,1994,NULL,NULL,NULL,NULL,NULL,72157606453736864
66,Masjid Uthman bin affan,"21380 Ryan Road Warren, MI",NULL,http://uthmanbinaffan.weebly.com/index.html,NULL,NULL,NULL,2010,NULL,NULL,NULL,NULL,NULL
67,Masjid Wali Muhammad,"11529 Linwood Avenue Detroit, MI",(313) 868-2131,NULL,African American,NULL,1954,1957 (from Black Bottom),NULL,NULL,"Masjid Wali Muhammad is located on the upper level of a two-story building which was originally a Jewish community center. The lower level holds a large kitchen, a computer room, and a spacious meeting/dining room. The masjid is active in the community, holding weekly fundraisers and sponsoring a local soup kitchen. The mosque is attended by a largely African American, native-born congregation and is affiliated with the national leadership of Imam Warith Deen Mohammad. Gary al-Kasib is the mosque’s current imam.","Masjid Wali Muhammad is home to the first and oldest African American Muslim congregation. Although located in its current facility on Linwood Avenue since 1954, its first home was on Hastings Street, in Detroit’s “Black Bottom.” It was there that the Nation of Islam was founded by W.D. Fard and led by the Honorable Elijah Muhammad in the early 1930s. The congregation’s name changed from Muhammad’s Temple No. 1 to Masjid Wali Muhammad in 1978, when the Honorable Warith Deen Muhammad led the former Nation of Islam into Sunni Islam. Masjid Wali Muhammad was rededicated as a mosque open for the five daily prayers, with a conventional prayer space (without chairs) oriented toward Mecca.",72157606457406953
68,Michigan Islamic Center of U.S.A.,24134 Warner Warren,NULL,NULL,NULL,NULL,2009,2009,NULL,2012,NULL,NULL,NULL
69,Mohammadi Masjid,"4541 Garvin Street Hamtramck, MI",(313) 369-0677,www.madrasha.org,South Asian,NULL,2010,2010,NULL,NULL,NULL,A Quranic school in Detroit.  Managed by South Asians.  Open to all Muslims.,NULL
70,Moorish Science Temple (#25),"5601 Grand River Blvd. Detroit, MI",NULL,NULL,NULL,NULL,1928,NULL,NULL,NULL,NULL,NULL,72157606454341614
71,Muhammad's Mosque,"16335 E. Warren Avenue Detroit, MI",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72157606454454144
72,Muhammad's Mosque #1,"14880 Wyoming Street Detroit, MI",NULL,NULL,NULL,NULL,1984,NULL,NULL,NULL,NULL,"This mosque was incorporated with the State in 1984 by Nathan Muhammad, David Faison and Thomas Williams.  It is associated with the Nation of Islam.",72157606457978313
73,Muslim Center of Detroit,"1605 Davison West Detroit, MI",(313) 883-3330,https://muslimcenterdetroit.com/,African American,NULL,1984,NULL,NULL,NULL,"The Muslim Center’s new facility includes a large prayer hall, a gym, a social hall, classrooms, a kitchen, and administrative offices. Located in a poor urban neighborhood, the Center has an activeda`wa (missions) board that provides a wide array of services to local families and youth, including counseling, job training, a soup kitchen, and substance abuse programs. Working with New Detroit, Inc., the Muslim Center also provides a summer camp and athletic programs for local young people. Led by Imam Derrick Ali, the center is also active in interfaith work and hosts an annual interfaith Thanksgiving dinner. With a largely African American and African immigrant congregation, the Center is open to all believers and is especially adept at making visitors feel welcome.","While the Muslim Center of Detroit traces its immediate history to the establishment in 1985 of the Muslim American Society by Imam Warith Deen Muhammad, the community’s history extends ultimately to the 1930s, when the Nation of Islam was first established in Detroit by Warith Deen’s father, Elijah Muhammad. The mosque is located on Davison Avenue in Detroit, in an old stone building that was once a bank. The mosque underwent significant expansion and renovation in 2005.",72157606482285772
74,Muslim Community Center of Detroit,"13720 W. McNichols Road Detroit, MI",NULL,NULL,African,NULL,2008,NULL,NULL,NULL,NULL,"Dedicated in August 2008.  The congregation is primarily, but not exclusively, from Nigeria.",72157606486177129
75,Islamic Cultural Association,"35700 W. 12 Mile Rd.  Farmington, MI",NULL,http://ica-mi.org/,Syrian,NULL,2000,NULL,NULL,NULL,NULL,NULL,NULL
76,Muslim Community of Macomb (Baitul M`amur),38810 Ryan Road Sterling Heights,(313) 910 – 4817,http://www.muslimcommunitymacomb.org/,NULL,NULL,2010,NULL,NULL,NULL,NULL,NULL,NULL
77,Muhammadi Islamic Center,"2075 Fort Street Lincoln Park, MI",(734) 564-1650,http://www.lpmic.com/,NULL,NULL,"June, 2015","June, 2015",NULL,NULL,NULL,NULL,NULL
78,Muhammadi Masjid and Madrasha,"4541 Garvin Street Hamtramck, MI",(313) 377-9245,http://www.madrasha.org/,Bangladeshi,NULL,NULL,2008,NULL,NULL,"The Quran Learning Center (Muhammadia Madrasha) is a mosque and schools founded in 2002. Located in Detroit on the outskirts of Hamtramck, this center serves one of the largest and most diverse Muslim communities in Michigan. The Quran Learning Center is open for all five daily prayers and provides Qur`an, Tajweed, and Islamic studies programs after school and on weekends. The center also provides  summer intensive courses and support for new Muslims. ",NULL,NULL
79,Muslim Community of the Western Suburbs,"40440 Palmer Canton, MI",(734) 729-1000,http://www.mcws.org,NULL,NULL,1988,NULL,NULL,NULL,NULL,NULL,72157606578087416
80,Muslim Men in Fellowship Unity,"17935 John R Street Highland Park, MI",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,Muslim Unity Center,"1830 W. Square Lake Road Bloomfield Hills, MI",(248) 857-9200,http://www.muslimunitycenter.org/,NULL,NULL,1993,NULL,NULL,NULL,NULL,NULL,72157606546495841
82,The Qur'an and Sunnah Society,"19800 Van Dyke Detroit, MI",(313) 893-3763,http://www.qss.org/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
